StrikerName,battingtype,4s,6s,batwkts,PaceOrSpin,1s,2s,3s,0s,x,y
James Vince,RHB,0,0,0,1,0,0,0,1,276,334
James Vince,RHB,0,0,0,1,0,0,1,0,234,375
James Vince,RHB,0,0,0,1,1,0,0,0,263,396
James Vince,RHB,0,0,0,1,0,0,0,1,311,346
James Vince,RHB,0,0,0,1,0,0,0,1,268,326
James Vince,RHB,0,0,0,1,0,0,0,1,235,323
James Vince,RHB,0,0,0,1,1,0,0,0,273,394
James Vince,RHB,0,0,0,1,1,0,0,0,375,401
James Vince,RHB,0,0,0,1,0,1,0,0,229,299
James Vince,RHB,0,0,0,1,0,1,0,0,263,383
James Vince,RHB,0,1,0,1,0,0,0,0,265,345
James Vince,RHB,0,0,0,1,0,1,0,0,203,379
James Vince,RHB,1,0,0,1,0,0,0,0,291,370
Devon Conway,LHB,0,0,0,1,0,0,0,1,306,388
Devon Conway,LHB,0,0,0,1,0,0,0,1,315,389
Devon Conway,LHB,0,0,0,1,0,0,0,1,375,323
Devon Conway,LHB,1,0,0,1,0,0,0,0,331,357
Devon Conway,LHB,0,0,0,1,0,1,0,0,317,366
Devon Conway,LHB,0,0,0,1,0,0,0,1,354,304
Devon Conway,LHB,0,0,0,1,0,0,0,1,317,298
Devon Conway,LHB,0,0,0,1,1,0,0,0,299,331
Devon Conway,LHB,0,0,0,1,1,0,0,0,250,312
Devon Conway,LHB,0,0,0,1,1,0,0,0,298,341
Devon Conway,LHB,0,0,0,1,1,0,0,0,354,387
Devon Conway,LHB,1,0,0,1,0,0,0,0,347,296
Devon Conway,LHB,0,0,0,1,1,0,0,0,355,332
Devon Conway,LHB,0,0,0,1,0,1,0,0,273,332
Devon Conway,LHB,0,0,0,1,1,0,0,0,391,363
Devon Conway,LHB,0,0,0,2,1,0,0,0,296,362
Devon Conway,LHB,0,0,0,2,1,0,0,0,294,355
Devon Conway,LHB,0,0,0,1,1,0,0,0,340,351
Devon Conway,LHB,0,0,0,1,1,0,0,0,429,334
Devon Conway,LHB,0,0,0,1,0,1,0,0,367,334
Devon Conway,LHB,0,0,0,1,0,0,0,1,354,336
Devon Conway,LHB,0,0,0,1,1,0,0,0,365,313
Devon Conway,LHB,0,0,0,1,1,0,0,0,351,388
James Vince,RHB,0,0,0,1,1,0,0,0,221,352
James Vince,RHB,0,1,0,1,0,0,0,0,258,341
James Vince,RHB,1,0,0,1,0,0,0,0,320,356
James Vince,RHB,1,0,0,1,0,0,0,0,389,314
James Vince,RHB,0,1,0,1,0,0,0,0,380,318
James Vince,RHB,0,0,0,1,0,1,0,0,307,374
James Vince,RHB,0,0,0,1,0,1,0,0,380,390
James Vince,RHB,0,0,0,1,1,0,0,0,323,360
James Vince,RHB,0,1,0,1,0,0,0,0,263,378
James Vince,RHB,0,0,0,1,0,1,0,0,257,310
Finnley Allen,RHB,0,0,0,1,0,0,0,1,340,318
